subscription_id,customer_id,plan,monthly_fee,usage_limit_gb,status,start_date,end_date,total_usage_gb,total_bill,overage_gb,final_status
S001,C001,BASIC,499,50,ACTIVE,2024-01-01,,60,599,10,ACTIVE
S002,C002,STANDARD,999,200,ACTIVE,2024-02-01,,230,1299,30,ACTIVE
S003,C003,PREMIUM,1999,500,SUSPENDED,2024-01-15,,550,1999,0,SUSPENDED
S004,C004,BASIC,499,50,CANCELLED,2024-01-01,2024-03-15,30,0,0,CANCELLED
S005,C005,STANDARD,999,200,ACTIVE,2023-12-10,,220,1199,20,ACTIVE
S006,C006,BASIC,499,50,ACTIVE,2024-01-20,,60,599,10,ACTIVE
S007,C007,PREMIUM,1999,500,ACTIVE,2024-02-05,,550,2499,50,ACTIVE
S008,C008,STANDARD,999,200,SUSPENDED,2024-01-12,,220,999,0,SUSPENDED
S009,C009,BASIC,499,50,ACTIVE,2024-01-01,,45,499,0,ACTIVE
S010,C010,PREMIUM,1999,500,CANCELLED,2023-11-01,2024-02-28,400,0,0,CANCELLED
S011,C011,STANDARD,999,200,ACTIVE,2024-01-01,,190,999,0,ACTIVE
S012,C012,BASIC,499,50,ACTIVE,2024-01-15,,20,499,0,ACTIVE
S013,C013,PREMIUM,1999,500,ACTIVE,2024-02-01,,550,2499,50,ACTIVE
S014,C014,STANDARD,999,200,ACTIVE,2024-02-20,,230,1299,30,ACTIVE
S015,C015,BASIC,499,50,SUSPENDED,2024-01-10,,5,499,0,ACTIVE
S016,C016,PREMIUM,1999,500,ACTIVE,2024-01-05,,300,1999,0,ACTIVE
S017,C017,STANDARD,999,200,ACTIVE,2023-12-01,,250,1499,50,ACTIVE
S018,C018,BASIC,499,50,ACTIVE,2024-02-01,,30,499,0,ACTIVE
S019,C019,PREMIUM,1999,500,ACTIVE,2024-01-01,,600,2999,100,ACTIVE
S020,C020,STANDARD,999,200,CANCELLED,2024-01-01,2024-03-01,100,0,0,CANCELLED
S021,C021,BASIC,499,50,ACTIVE,2024-02-10,,40,499,0,ACTIVE
S022,C022,STANDARD,999,200,ACTIVE,2024-01-01,,210,1099,10,ACTIVE
S023,C023,PREMIUM,1999,500,SUSPENDED,2024-01-01,,700,1999,0,SUSPENDED
S024,C024,BASIC,499,50,ACTIVE,2024-01-15,,55,549,5,ACTIVE
S025,C025,STANDARD,999,200,ACTIVE,2024-02-01,,190,999,0,ACTIVE
S026,C026,PREMIUM,1999,500,ACTIVE,2024-01-01,,530,2299,30,ACTIVE
S027,C027,BASIC,499,50,ACTIVE,2024-01-01,,10,499,0,ACTIVE
S028,C028,STANDARD,999,200,ACTIVE,2024-01-20,,210,1099,10,ACTIVE
S029,C029,PREMIUM,1999,500,ACTIVE,2024-02-01,,550,2499,50,ACTIVE
S030,C030,BASIC,499,50,SUSPENDED,2024-01-01,,70,499,0,SUSPENDED
